User_ID,Scenario_ID,AC_Label,D_total,P_human,Risk,Subj,Info,Lit,Trust_Norm,Scenario_Type
0,0,1.0,0.222222,1.0,0.0,0.0,0.0,0.5,0.5,SYNTHETIC_DEMO_NOT_REAL
0,1,1.0,0.416667,1.0,0.0,0.0,0.0,0.5,0.5,SYNTHETIC_DEMO_NOT_REAL
0,2,1.0,0.333333,0.0,0.0,0.0,1.0,0.5,0.5,SYNTHETIC_DEMO_NOT_REAL
0,3,1.0,0.364583,0.0,0.0,0.0,1.0,0.5,0.5,SYNTHETIC_DEMO_NOT_REAL
0,4,1.0,0.666667,0.0,0.0,1.0,0.0,0.5,0.5,SYNTHETIC_DEMO_NOT_REAL
0,5,1.0,0.666667,0.0,0.0,1.0,0.0,0.5,0.5,SYNTHETIC_DEMO_NOT_REAL
0,6,1.0,0.666667,1.0,0.0,1.0,1.0,0.5,0.5,SYNTHETIC_DEMO_NOT_REAL
0,7,1.0,0.444444,1.0,0.0,1.0,1.0,0.5,0.5,SYNTHETIC_DEMO_NOT_REAL
0,8,1.0,0.277778,1.0,1.0,0.0,0.0,0.5,0.5,SYNTHETIC_DEMO_NOT_REAL
0,9,1.0,0.666667,0.0,1.0,0.0,0.0,0.5,0.5,SYNTHETIC_DEMO_NOT_REAL
0,10,1.0,0.166667,0.0,1.0,0.0,1.0,0.5,0.5,SYNTHETIC_DEMO_NOT_REAL
0,11,1.0,0.555556,1.0,1.0,0.0,1.0,0.5,0.5,SYNTHETIC_DEMO_NOT_REAL
0,12,1.0,0.666667,1.0,1.0,1.0,0.0,0.5,0.5,SYNTHETIC_DEMO_NOT_REAL
0,13,1.0,0.333333,1.0,1.0,1.0,0.0,0.5,0.5,SYNTHETIC_DEMO_NOT_REAL
0,14,1.0,0.333333,1.0,1.0,1.0,1.0,0.5,0.5,SYNTHETIC_DEMO_NOT_REAL
0,15,1.0,0.583333,1.0,1.0,1.0,1.0,0.5,0.5,SYNTHETIC_DEMO_NOT_REAL
1,0,1.0,0.222222,1.0,0.0,0.0,0.0,0.75,0.625,SYNTHETIC_DEMO_NOT_REAL
1,2,1.0,0.333333,0.0,0.0,0.0,1.0,0.75,0.625,SYNTHETIC_DEMO_NOT_REAL
1,3,1.0,0.364583,0.0,0.0,0.0,1.0,0.75,0.625,SYNTHETIC_DEMO_NOT_REAL
