User_ID,Scenario_ID,AC_Label,D_total,P_human,Risk,Subj,Info,Lit,Trust_Norm
0,0,1.0,0.222222,0.0,0.0,0.0,0.0,0.5,0.5
0,1,1.0,0.416667,1.0,0.0,0.0,0.0,0.5,0.5
0,2,1.0,0.333333,1.0,0.0,0.0,1.0,0.5,0.5
0,3,1.0,0.364583,1.0,0.0,0.0,1.0,0.5,0.5
0,4,1.0,0.666667,1.0,0.0,1.0,0.0,0.5,0.5
0,5,1.0,0.666667,1.0,0.0,1.0,0.0,0.5,0.5
0,6,1.0,0.666667,0.0,0.0,1.0,1.0,0.5,0.5
0,7,1.0,0.444444,0.0,0.0,1.0,1.0,0.5,0.5
0,8,1.0,0.277778,0.0,1.0,0.0,0.0,0.5,0.5
0,9,1.0,0.666667,0.0,1.0,0.0,0.0,0.5,0.5
0,10,1.0,0.166667,1.0,1.0,0.0,1.0,0.5,0.5
0,11,1.0,0.555556,0.0,1.0,0.0,1.0,0.5,0.5
0,12,1.0,0.666667,1.0,1.0,1.0,0.0,0.5,0.5
0,13,1.0,0.333333,0.0,1.0,1.0,0.0,0.5,0.5
0,14,1.0,0.333333,1.0,1.0,1.0,1.0,0.5,0.5
0,15,1.0,0.583333,0.0,1.0,1.0,1.0,0.5,0.5
1,0,1.0,0.222222,1.0,0.0,0.0,0.0,0.75,0.625
1,1,1.0,0.416667,1.0,0.0,0.0,0.0,0.75,0.625
1,2,1.0,0.333333,0.0,0.0,0.0,1.0,0.75,0.625
1,3,1.0,0.364583,0.0,0.0,0.0,1.0,0.75,0.625
1,4,1.0,0.666667,1.0,0.0,1.0,0.0,0.75,0.625
1,5,1.0,0.666667,0.0,0.0,1.0,0.0,0.75,0.625
1,6,1.0,0.666667,0.0,0.0,1.0,1.0,0.75,0.625
1,7,1.0,0.444444,1.0,0.0,1.0,1.0,0.75,0.625
1,8,1.0,0.277778,0.0,1.0,0.0,0.0,0.75,0.625
1,9,1.0,0.666667,0.0,1.0,0.0,0.0,0.75,0.625
1,10,1.0,0.166667,1.0,1.0,0.0,1.0,0.75,0.625
1,11,1.0,0.555556,1.0,1.0,0.0,1.0,0.75,0.625
1,12,1.0,0.666667,0.0,1.0,1.0,0.0,0.75,0.625
1,13,1.0,0.333333,0.0,1.0,1.0,0.0,0.75,0.625
1,14,1.0,0.333333,0.0,1.0,1.0,1.0,0.75,0.625
1,15,1.0,0.583333,0.0,1.0,1.0,1.0,0.75,0.625
2,0,1.0,0.222222,0.0,0.0,0.0,0.0,0.5,0.5
2,1,1.0,0.416667,1.0,0.0,0.0,0.0,0.5,0.5
2,2,1.0,0.333333,0.0,0.0,0.0,1.0,0.5,0.5
2,3,1.0,0.364583,0.0,0.0,0.0,1.0,0.5,0.5
2,4,1.0,0.666667,1.0,0.0,1.0,0.0,0.5,0.5
2,5,1.0,0.666667,0.0,0.0,1.0,0.0,0.5,0.5
2,6,1.0,0.666667,0.0,0.0,1.0,1.0,0.5,0.5
2,7,1.0,0.444444,1.0,0.0,1.0,1.0,0.5,0.5
2,8,1.0,0.277778,0.0,1.0,0.0,0.0,0.5,0.5
2,9,1.0,0.666667,0.0,1.0,0.0,0.0,0.5,0.5
2,10,1.0,0.166667,0.0,1.0,0.0,1.0,0.5,0.5
2,11,1.0,0.555556,0.0,1.0,0.0,1.0,0.5,0.5
2,12,1.0,0.666667,0.0,1.0,1.0,0.0,0.5,0.5
2,13,1.0,0.333333,0.0,1.0,1.0,0.0,0.5,0.5
2,14,1.0,0.333333,0.0,1.0,1.0,1.0,0.5,0.5
2,15,1.0,0.583333,0.0,1.0,1.0,1.0,0.5,0.5
3,0,1.0,0.222222,0.0,0.0,0.0,0.0,0.5,0.75
3,1,1.0,0.416667,1.0,0.0,0.0,0.0,0.5,0.75
3,2,1.0,0.333333,1.0,0.0,0.0,1.0,0.5,0.75
3,3,1.0,0.364583,1.0,0.0,0.0,1.0,0.5,0.75
